timestamp,active_energy_burned,basal_energy_burned,heart_rate,physical_effort
2025-06-05 16:25:55,,,62.0,
2025-06-05 16:25:56,0.077,0.066,,
2025-06-05 16:25:59,0.077,0.066,60.0,
2025-06-05 16:26:01,0.077,0.066,,
2025-06-05 16:26:04,0.077,0.066,,
2025-06-05 16:26:05,,,60.0,
2025-06-05 16:26:07,0.077,0.066,,
2025-06-05 16:26:09,0.077,0.066,,
2025-06-05 16:26:10,,,61.0,
2025-06-05 16:26:12,0.077,0.066,,
2025-06-05 16:26:14,0.077,0.066,,
2025-06-05 16:26:15,,,61.0,
2025-06-05 16:26:17,0.077,0.066,,
2025-06-05 16:26:18,,,61.0,
2025-06-05 16:26:19,0.077,0.066,,
2025-06-05 16:26:22,0.077,0.066,,
2025-06-05 16:26:24,0.077,0.066,,
2025-06-05 16:26:27,0.077,0.066,62.0,
2025-06-05 16:26:30,0.077,0.066,,
2025-06-05 16:26:32,0.097,0.066,62.0,
2025-06-05 16:26:35,0.097,0.066,,
2025-06-05 16:26:37,0.077,0.066,61.0,
2025-06-05 16:26:40,0.077,0.066,,
2025-06-05 16:26:42,0.077,0.066,60.0,
2025-06-05 16:26:43,,,60.0,
2025-06-05 16:26:45,0.077,0.066,,
2025-06-05 16:26:48,0.077,0.066,,
2025-06-05 16:26:50,0.077,0.066,,
2025-06-05 16:26:52,,,66.0,
2025-06-05 16:26:53,0.077,0.066,66.0,
2025-06-05 16:26:55,0.107,0.066,,
2025-06-05 16:26:58,0.107,0.066,,
2025-06-05 16:27:00,0.097,0.066,,
2025-06-05 16:27:02,,,62.0,
2025-06-05 16:27:03,0.077,0.066,,
2025-06-05 16:27:05,0.077,0.066,,
2025-06-05 16:27:07,,,61.0,
2025-06-05 16:27:08,0.097,0.066,,6.3
2025-06-05 16:27:11,0.107,0.066,,
2025-06-05 16:27:12,,,62.0,
2025-06-05 16:27:13,0.107,0.066,,
2025-06-05 16:27:16,0.107,0.066,62.0,
2025-06-05 16:27:18,0.103,0.066,61.0,
2025-06-05 16:27:21,0.103,0.066,,
