timestamp,active_energy_burned,basal_energy_burned,heart_rate,physical_effort
2025-06-05 17:13:30,0.077,0.066,60.0,
2025-06-05 17:13:33,0.097,0.066,60.0,5.4
2025-06-05 17:13:35,0.097,0.066,,
2025-06-05 17:13:38,0.097,0.066,,
2025-06-05 17:13:40,0.097,0.066,59.0,
2025-06-05 17:13:42,,,59.0,
2025-06-05 17:13:43,0.097,0.066,,
2025-06-05 17:13:46,0.097,0.066,,
2025-06-05 17:13:48,0.097,0.066,,
2025-06-05 17:13:51,0.097,0.066,58.0,
2025-06-05 17:13:53,0.097,0.066,,
2025-06-05 17:13:56,0.097,0.066,57.0,
2025-06-05 17:13:58,0.087,0.066,,
2025-06-05 17:14:01,0.087,0.066,57.0,
2025-06-05 17:14:04,0.097,0.066,,
2025-06-05 17:14:06,0.097,0.066,56.0,
2025-06-05 17:14:09,0.082,0.066,,
2025-06-05 17:14:10,,,56.0,
2025-06-05 17:14:11,0.082,0.066,,
2025-06-05 17:14:14,0.097,0.066,57.0,
2025-06-05 17:14:16,0.097,0.066,,6.0
2025-06-05 17:14:17,,,57.0,
2025-06-05 17:14:19,0.091,0.066,,
2025-06-05 17:14:21,0.091,0.066,,
2025-06-05 17:14:22,,,58.0,
2025-06-05 17:14:24,0.091,0.066,,
2025-06-05 17:14:27,0.091,0.066,,
2025-06-05 17:14:29,0.082,0.066,56.0,
2025-06-05 17:14:32,0.087,0.066,,
2025-06-05 17:14:34,0.087,0.066,57.0,
2025-06-05 17:14:37,0.095,0.066,,
2025-06-05 17:14:39,0.095,0.066,,
2025-06-05 17:14:40,,,59.0,
2025-06-05 17:14:42,0.095,0.066,,
2025-06-05 17:14:43,,,60.0,
2025-06-05 17:14:45,0.097,0.066,,
2025-06-05 17:14:47,0.097,0.066,,
2025-06-05 17:14:50,0.095,0.066,58.0,
2025-06-05 17:14:52,0.091,0.066,59.0,
2025-06-05 17:14:55,0.091,0.066,,
2025-06-05 17:14:57,0.091,0.066,58.0,
2025-06-05 17:15:00,0.091,0.066,,
2025-06-05 17:15:02,0.078,0.066,,
2025-06-05 17:15:05,0.078,0.066,55.0,5.3
2025-06-05 17:15:08,0.097,0.066,,
2025-06-05 17:15:10,0.097,0.066,,
2025-06-05 17:15:11,,,56.0,
2025-06-05 17:15:12,,,56.0,
2025-06-05 17:15:13,0.097,0.066,,
2025-06-05 17:15:15,0.097,0.066,,6.1
2025-06-05 17:15:18,0.095,0.066,,
2025-06-05 17:15:20,0.095,0.066,,
2025-06-05 17:15:21,,,59.0,
2025-06-05 17:15:23,0.095,0.066,,
2025-06-05 17:15:24,,,59.0,
2025-06-05 17:15:26,0.077,0.066,,
2025-06-05 17:15:28,0.077,0.066,,
2025-06-05 17:15:29,,,59.0,
