timestamp,active_energy_burned,basal_energy_burned,heart_rate,physical_effort
2025-06-05 17:58:54,0.077,0.066,56.0,
2025-06-05 17:58:56,0.077,0.066,,
2025-06-05 17:58:59,0.077,0.066,,
2025-06-05 17:59:00,,,54.0,
2025-06-05 17:59:01,0.077,0.066,,
2025-06-05 17:59:02,,,54.0,
2025-06-05 17:59:04,0.077,0.066,,5.5
2025-06-05 17:59:06,0.082,0.066,,
2025-06-05 17:59:08,,,56.0,
2025-06-05 17:59:09,0.082,0.066,,
2025-06-05 17:59:11,0.091,0.066,,
2025-06-05 17:59:14,0.091,0.066,,
2025-06-05 17:59:15,,,58.0,
2025-06-05 17:59:17,0.091,0.066,,
2025-06-05 17:59:19,0.077,0.066,,4.0
2025-06-05 17:59:21,,,58.0,
2025-06-05 17:59:22,0.077,0.066,,
2025-06-05 17:59:23,,,58.0,
2025-06-05 17:59:24,0.077,0.066,,
2025-06-05 17:59:27,0.077,0.066,58.0,5.3
2025-06-05 17:59:29,0.091,0.066,,
2025-06-05 17:59:32,0.095,0.066,,
2025-06-05 17:59:33,,,59.0,
2025-06-05 17:59:34,0.095,0.066,,
2025-06-05 17:59:37,0.082,0.066,,
2025-06-05 17:59:40,0.077,0.066,,
2025-06-05 17:59:41,,,56.0,
2025-06-05 17:59:42,0.041,0.066,,3.4
2025-06-05 17:59:45,0.041,0.066,55.0,
2025-06-05 17:59:47,0.041,0.066,,
2025-06-05 17:59:49,,,55.0,
2025-06-05 17:59:50,0.077,0.066,,
2025-06-05 17:59:52,0.078,0.066,,6.3
2025-06-05 17:59:55,0.078,0.066,55.0,
2025-06-05 17:59:57,,,55.0,
2025-06-05 17:59:58,0.078,0.066,,
2025-06-05 18:00:00,0.078,0.066,,
2025-06-05 18:00:03,0.099,0.066,,
2025-06-05 18:00:04,,,60.0,
2025-06-05 18:00:05,0.099,0.066,,
2025-06-05 18:00:08,0.095,0.066,59.0,
2025-06-05 18:00:10,0.095,0.066,,
2025-06-05 18:00:13,0.082,0.066,,
2025-06-05 18:00:15,0.082,0.066,,
2025-06-05 18:00:16,,,56.0,
2025-06-05 18:00:18,0.082,0.066,,
2025-06-05 18:00:20,,,56.0,
2025-06-05 18:00:21,0.082,0.066,,
2025-06-05 18:00:23,0.087,0.066,,
2025-06-05 18:00:26,0.087,0.066,57.0,
2025-06-05 18:00:28,0.077,0.066,,
