time,active_energy_burned,basal_energy_burned,env_audio_exposure,heart_rate,physical_effort
2025-06-05 16:25:55+02:00,,,,62.0,
2025-06-05 16:25:56+02:00,0.077,0.066,,,
2025-06-05 16:25:59+02:00,0.077,0.066,,60.0,
2025-06-05 16:26:01+02:00,0.077,0.066,,,
2025-06-05 16:26:04+02:00,0.077,0.066,,,
2025-06-05 16:26:05+02:00,,,,60.0,
2025-06-05 16:26:07+02:00,0.077,0.066,,,
2025-06-05 16:26:09+02:00,0.077,0.066,,,
2025-06-05 16:26:10+02:00,,,,61.0,
2025-06-05 16:26:12+02:00,0.077,0.066,,,
2025-06-05 16:26:14+02:00,0.077,0.066,,,
2025-06-05 16:26:15+02:00,,,,61.0,
2025-06-05 16:26:17+02:00,0.077,0.066,,,
2025-06-05 16:26:18+02:00,,,,61.0,
2025-06-05 16:26:19+02:00,0.077,0.066,,,
2025-06-05 16:26:22+02:00,0.077,0.066,,,
2025-06-05 16:26:24+02:00,0.077,0.066,,,
2025-06-05 16:26:27+02:00,0.077,0.066,,62.0,
2025-06-05 16:26:30+02:00,0.077,0.066,,,
2025-06-05 16:26:32+02:00,0.097,0.066,,62.0,
2025-06-05 16:26:35+02:00,0.097,0.066,,,
2025-06-05 16:26:37+02:00,0.077,0.066,,61.0,
2025-06-05 16:26:40+02:00,0.077,0.066,,,
2025-06-05 16:26:42+02:00,0.077,0.066,,60.0,
2025-06-05 16:26:43+02:00,,,,60.0,
2025-06-05 16:26:45+02:00,0.077,0.066,,,
2025-06-05 16:26:48+02:00,0.077,0.066,,,
2025-06-05 16:26:50+02:00,0.077,0.066,,,
2025-06-05 16:26:52+02:00,,,,66.0,
2025-06-05 16:26:53+02:00,0.077,0.066,,66.0,
2025-06-05 16:26:55+02:00,0.107,0.066,,,
2025-06-05 16:26:58+02:00,0.107,0.066,,,
2025-06-05 16:27:00+02:00,0.097,0.066,,,
2025-06-05 16:27:02+02:00,,,,62.0,
2025-06-05 16:27:03+02:00,0.077,0.066,,,
2025-06-05 16:27:05+02:00,0.077,0.066,,,
2025-06-05 16:27:07+02:00,,,,61.0,
2025-06-05 16:27:08+02:00,0.097,0.066,,,6.3
2025-06-05 16:27:11+02:00,0.107,0.066,,,
2025-06-05 16:27:12+02:00,,,,62.0,
2025-06-05 16:27:13+02:00,0.107,0.066,,,
2025-06-05 16:27:16+02:00,0.107,0.066,,62.0,
2025-06-05 16:27:18+02:00,0.103,0.066,,61.0,
2025-06-05 16:27:21+02:00,0.103,0.066,,,
2025-06-05 16:27:23+02:00,0.103,0.066,,61.0,
2025-06-05 16:27:26+02:00,0.097,0.066,,,5.4
2025-06-05 16:27:29+02:00,0.097,0.066,,,
2025-06-05 16:27:31+02:00,0.09,0.066,,,
2025-06-05 16:27:32+02:00,,,,58.0,
2025-06-05 16:27:34+02:00,0.09,0.066,,58.0,
2025-06-05 16:27:36+02:00,0.09,0.066,,,
2025-06-05 16:27:39+02:00,0.097,0.066,,,
2025-06-05 16:27:41+02:00,0.095,0.066,,,
2025-06-05 16:27:42+02:00,,,,59.0,
2025-06-05 16:27:44+02:00,0.095,0.066,,59.0,
2025-06-05 16:27:46+02:00,0.095,0.066,,,4.7
2025-06-05 16:27:48+02:00,,,,59.0,
2025-06-05 16:27:49+02:00,0.077,0.066,,,
2025-06-05 16:27:52+02:00,0.077,0.066,,,
2025-06-05 16:27:53+02:00,,,,59.0,
2025-06-05 16:27:54+02:00,0.077,0.066,,,
2025-06-05 16:27:57+02:00,0.077,0.066,,,
2025-06-05 16:27:58+02:00,,,,63.0,
2025-06-05 16:27:59+02:00,0.077,0.066,,,
2025-06-05 16:28:02+02:00,0.097,0.066,,,
2025-06-05 16:28:04+02:00,0.097,0.066,,63.0,
2025-06-05 16:28:07+02:00,0.077,0.066,,,
2025-06-05 16:28:09+02:00,0.077,0.066,,66.0,
2025-06-05 16:28:12+02:00,0.077,0.066,,,
2025-06-05 16:28:15+02:00,0.077,0.066,,,
2025-06-05 16:28:17+02:00,0.077,0.066,,66.0,
2025-06-05 16:28:19+02:00,,,,66.0,
2025-06-05 16:28:20+02:00,0.077,0.066,,,
2025-06-05 16:28:22+02:00,0.077,0.066,,,
2025-06-05 16:28:23+02:00,,,,65.0,
2025-06-05 16:28:25+02:00,0.077,0.066,,,
2025-06-05 16:28:27+02:00,0.077,0.066,,,
2025-06-05 16:28:28+02:00,,,,66.0,
2025-06-05 16:28:30+02:00,0.077,0.066,,,
2025-06-05 16:28:33+02:00,0.077,0.066,,,
2025-06-05 16:28:35+02:00,0.077,0.066,,,
2025-06-05 16:28:37+02:00,,,,62.0,
2025-06-05 16:28:38+02:00,0.077,0.066,,,
2025-06-05 16:28:40+02:00,0.097,0.066,,,
2025-06-05 16:28:42+02:00,,,,61.0,
2025-06-05 16:28:43+02:00,0.097,0.066,,,
2025-06-05 16:28:45+02:00,0.077,0.066,,,
2025-06-05 16:28:47+02:00,,,,59.0,
2025-06-05 16:28:48+02:00,0.077,0.066,,,
2025-06-05 16:28:50+02:00,0.077,0.066,,,
2025-06-05 16:28:52+02:00,,,,58.0,
2025-06-05 16:28:53+02:00,0.077,0.066,,,
2025-06-05 16:28:56+02:00,0.077,0.066,,,
2025-06-05 16:28:57+02:00,,,,56.0,
2025-06-05 16:28:58+02:00,0.077,0.066,,,
2025-06-05 16:29:01+02:00,0.086,0.066,,57.0,
2025-06-05 16:29:03+02:00,0.086,0.066,,,
2025-06-05 16:29:06+02:00,0.086,0.066,,,
2025-06-05 16:29:07+02:00,,,,57.0,
2025-06-05 16:29:08+02:00,0.077,0.066,,,
2025-06-05 16:29:11+02:00,0.077,0.066,,,
2025-06-05 16:29:12+02:00,,,,56.0,
2025-06-05 16:29:13+02:00,,,,56.0,
2025-06-05 16:29:14+02:00,0.077,0.066,,,
2025-06-05 16:29:16+02:00,0.082,0.066,,,6.5
2025-06-05 16:29:19+02:00,0.103,0.066,,,
2025-06-05 16:29:20+02:00,,,,61.0,
2025-06-05 16:29:21+02:00,0.103,0.066,,,
2025-06-05 16:29:24+02:00,0.103,0.066,,,4.4
2025-06-05 16:29:26+02:00,0.077,0.066,,,
2025-06-05 16:29:27+02:00,,,,64.0,
2025-06-05 16:29:28+02:00,,,,64.0,
2025-06-05 16:29:29+02:00,0.077,0.066,,,
2025-06-05 16:29:31+02:00,0.077,0.066,,,
2025-06-05 16:29:34+02:00,0.077,0.066,,,
2025-06-05 16:29:35+02:00,,,,61.0,
2025-06-05 16:29:37+02:00,0.077,0.066,,,
2025-06-05 16:29:39+02:00,0.077,0.066,,,
2025-06-05 16:29:41+02:00,,,,59.0,
2025-06-05 16:29:42+02:00,0.077,0.066,,,
2025-06-05 16:29:44+02:00,0.077,0.066,,,
2025-06-05 16:29:45+02:00,,,,60.0,
2025-06-05 16:29:47+02:00,0.077,0.066,,,
2025-06-05 16:29:49+02:00,0.077,0.066,,,
2025-06-05 16:29:51+02:00,,,,60.0,
2025-06-05 16:29:52+02:00,0.077,0.066,,,
2025-06-05 16:29:55+02:00,0.097,0.066,,,
2025-06-05 16:29:56+02:00,,,,60.0,
2025-06-05 16:29:57+02:00,0.097,0.066,,,
2025-06-05 16:30:00+02:00,0.077,0.066,,,
2025-06-05 16:30:01+02:00,,,,60.0,
2025-06-05 16:30:02+02:00,0.077,0.066,,,
2025-06-05 16:30:03+02:00,,,,60.0,
2025-06-05 16:30:05+02:00,0.097,0.066,,,
2025-06-05 16:30:07+02:00,0.097,0.066,,,
2025-06-05 16:30:10+02:00,0.077,0.066,,,
2025-06-05 16:30:11+02:00,,,,65.0,
2025-06-05 16:30:12+02:00,0.077,0.066,,,
2025-06-05 16:30:13+02:00,,,,64.0,
2025-06-05 16:30:15+02:00,0.077,0.066,,,
2025-06-05 16:30:18+02:00,0.077,0.066,,,
2025-06-05 16:30:20+02:00,0.077,0.066,,,
2025-06-05 16:30:21+02:00,,,,61.0,
2025-06-05 16:30:23+02:00,0.077,0.066,,,
2025-06-05 16:30:25+02:00,0.077,0.066,,61.0,
2025-06-05 16:30:28+02:00,0.077,0.066,,,
2025-06-05 16:30:30+02:00,0.077,0.066,,,
2025-06-05 16:30:31+02:00,,,,61.0,
2025-06-05 16:30:33+02:00,0.077,0.066,,,
2025-06-05 16:30:36+02:00,0.077,0.066,,,
2025-06-05 16:30:37+02:00,,,,61.0,
2025-06-05 16:30:38+02:00,0.077,0.066,,61.0,
2025-06-05 16:30:41+02:00,0.077,0.066,,,
2025-06-05 16:30:43+02:00,0.077,0.066,,,
2025-06-05 16:30:46+02:00,0.077,0.066,,61.0,
2025-06-05 16:30:48+02:00,0.077,0.066,,,
2025-06-05 16:30:51+02:00,0.077,0.066,,,
2025-06-05 16:30:52+02:00,,,,61.0,
