time,active_energy_burned,basal_energy_burned,env_audio_exposure,heart_rate,physical_effort
2025-06-05 17:13:30+02:00,0.077,0.066,,60.0,
2025-06-05 17:13:33+02:00,0.097,0.066,,60.0,5.4
2025-06-05 17:13:35+02:00,0.097,0.066,,,
2025-06-05 17:13:38+02:00,0.097,0.066,,,
2025-06-05 17:13:40+02:00,0.097,0.066,,59.0,
2025-06-05 17:13:42+02:00,,,,59.0,
2025-06-05 17:13:43+02:00,0.097,0.066,,,
2025-06-05 17:13:46+02:00,0.097,0.066,,,
2025-06-05 17:13:48+02:00,0.097,0.066,,,
2025-06-05 17:13:51+02:00,0.097,0.066,,58.0,
2025-06-05 17:13:53+02:00,0.097,0.066,,,
2025-06-05 17:13:56+02:00,0.097,0.066,,57.0,
2025-06-05 17:13:58+02:00,0.087,0.066,,,
2025-06-05 17:14:01+02:00,0.087,0.066,,57.0,
2025-06-05 17:14:04+02:00,0.097,0.066,,,
2025-06-05 17:14:06+02:00,0.097,0.066,,56.0,
2025-06-05 17:14:09+02:00,0.082,0.066,,,
2025-06-05 17:14:10+02:00,,,,56.0,
2025-06-05 17:14:11+02:00,0.082,0.066,,,
2025-06-05 17:14:14+02:00,0.097,0.066,,57.0,
2025-06-05 17:14:16+02:00,0.097,0.066,,,6.0
2025-06-05 17:14:17+02:00,,,,57.0,
2025-06-05 17:14:19+02:00,0.091,0.066,,,
2025-06-05 17:14:21+02:00,0.091,0.066,,,
2025-06-05 17:14:22+02:00,,,,58.0,
2025-06-05 17:14:24+02:00,0.091,0.066,,,
2025-06-05 17:14:27+02:00,0.091,0.066,,,
2025-06-05 17:14:29+02:00,0.082,0.066,,56.0,
2025-06-05 17:14:32+02:00,0.087,0.066,,,
2025-06-05 17:14:34+02:00,0.087,0.066,,57.0,
2025-06-05 17:14:37+02:00,0.095,0.066,,,
2025-06-05 17:14:39+02:00,0.095,0.066,,,
2025-06-05 17:14:40+02:00,,,,59.0,
2025-06-05 17:14:42+02:00,0.095,0.066,,,
2025-06-05 17:14:43+02:00,,,,60.0,
2025-06-05 17:14:45+02:00,0.097,0.066,,,
2025-06-05 17:14:47+02:00,0.097,0.066,,,
2025-06-05 17:14:50+02:00,0.095,0.066,,58.0,
2025-06-05 17:14:52+02:00,0.091,0.066,,59.0,
2025-06-05 17:14:55+02:00,0.091,0.066,,,
2025-06-05 17:14:57+02:00,0.091,0.066,,58.0,
2025-06-05 17:15:00+02:00,0.091,0.066,,,
2025-06-05 17:15:02+02:00,0.078,0.066,,,
2025-06-05 17:15:05+02:00,0.078,0.066,,55.0,5.3
2025-06-05 17:15:08+02:00,0.097,0.066,,,
2025-06-05 17:15:10+02:00,0.097,0.066,,,
2025-06-05 17:15:11+02:00,,,,56.0,
2025-06-05 17:15:12+02:00,,,,56.0,
2025-06-05 17:15:13+02:00,0.097,0.066,,,
2025-06-05 17:15:15+02:00,0.097,0.066,,,6.1
2025-06-05 17:15:18+02:00,0.095,0.066,,,
2025-06-05 17:15:20+02:00,0.095,0.066,,,
