success,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,gaze_direction,overall_confidence,pupil_classification,pupil_detected,iris_detected,pupil_center_x,pupil_center_y,iris_center_x,iris_center_y,gaze_magnitude,concentricity_score,pupil_circularity,timestamp
True,0.0,11.8,0.0,Center,0.312994985942898,Unknown,True,False,79,103,0,0,0.0,0.0,0.417326647923864,0.0
True,0.0,11.8,0.0,Center,0.25543458975357386,Unknown,True,False,26,227,0,0,0.0,0.0,0.34057945300476516,0.5
True,2.95,11.8,0.25,Left,0.5441611947515199,Normal,True,True,81,104,116,106,0.7303561726232543,0.0,0.41624179212727985,1.0
True,0.0,11.8,0.0,Center,0.2275413166681511,Unknown,True,False,5,91,0,0,0.0,0.0,0.3033884222242015,1.5
True,0.0,11.8,0.0,Center,0.32942786991267914,Unknown,True,False,2,200,0,0,0.0,0.0,0.4392371598835722,10.0
True,0.0,11.8,0.0,Center,0.33265840424446474,Unknown,True,False,243,118,0,0,0.0,0.0,0.44354453899261964,10.5
True,0.0,11.8,0.0,Center,0.24255544144262442,Unknown,True,False,218,10,0,0,0.0,0.0,0.32340725525683256,100.0
True,0.0,11.8,0.0,Center,0.274120873699702,Unknown,True,False,163,223,0,0,0.0,0.0,0.36549449826626934,100.5
True,0.0,11.8,0.0,Center,0.3307250981649003,Unknown,True,False,248,88,0,0,0.0,0.0,0.4409667975532004,1000.0
True,0.0,11.8,0.0,Center,0.34881993438489955,Unknown,True,False,247,89,0,0,0.0,0.0,0.4650932458465328,1000.5
True,0.0,11.8,0.0,Center,0.33297463444191827,Unknown,True,False,201,92,0,0,0.0,0.0,0.44396617925589105,1001.0
True,0.0,11.8,0.0,Center,0.28630109491445815,Unknown,True,False,9,123,0,0,0.0,0.0,0.38173479321927756,1001.5
True,2.185185185185185,11.8,0.18518518518518517,Left,0.5350399709757463,Normal,True,True,116,152,146,142,0.5856069741052554,0.0,0.4025599564636195,1002.0
True,0.0,11.8,0.0,Center,0.38363360636333455,Unknown,True,False,246,87,0,0,0.0,0.0,0.5115114751511127,1002.5
True,0.0,11.8,0.0,Center,0.3868702136951211,Unknown,True,False,247,88,0,0,0.0,0.0,0.5158269515934948,1003.0
True,0.0,11.8,0.0,Center,0.35578389971344354,Unknown,True,False,198,4,0,0,0.0,0.0,0.47437853295125804,1003.5
True,1.475,11.8,0.125,Up-Left,0.7690868009866644,Miosis,True,True,117,151,126,160,0.1988737822087165,0.602252435582567,0.4525039836887132,1004.0
True,0.0,11.8,0.0,Center,0.37592592779883316,Unknown,True,False,248,87,0,0,0.0,0.0,0.5012345703984442,1004.5
True,0.0,11.8,0.0,Center,0.3253345424771702,Unknown,True,False,7,123,0,0,0.0,0.0,0.4337793899695603,1005.0
True,0.0,11.8,0.0,Center,0.22839821218717443,Unknown,True,False,211,160,0,0,0.0,0.0,0.3045309495828992,1005.5
