success,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,gaze_direction,overall_confidence,pupil_classification,pupil_detected,iris_detected,pupil_center_x,pupil_center_y,iris_center_x,iris_center_y,gaze_magnitude,concentricity_score,pupil_circularity,timestamp
True,0.0,11.8,0.0,Center,0.26231922142032693,Unknown,True,False,158,235,0,0,0.0,0.0,0.34975896189376926,0.0
True,0.0,11.8,0.0,Center,0.2881351171811616,Unknown,True,False,160,237,0,0,0.0,0.0,0.3841801562415488,0.5
True,0.0,11.8,0.0,Center,0.3041884323640219,Unknown,True,False,160,237,0,0,0.0,0.0,0.4055845764853625,1.0
True,0.0,11.8,0.0,Center,0.3241177254436746,Unknown,True,False,161,239,0,0,0.0,0.0,0.4321569672582328,1.5
True,0.0,11.8,0.0,Center,0.3315484227328859,Unknown,True,False,106,46,0,0,0.0,0.0,0.44206456364384783,10.0
True,0.0,11.8,0.0,Center,0.22996246820804034,Unknown,True,False,160,160,0,0,0.0,0.0,0.3066166242773871,10.5
True,0.0,11.8,0.0,Center,0.2364098938834985,Unknown,True,False,51,81,0,0,0.0,0.0,0.3152131918446647,100.0
True,0.0,11.8,0.0,Center,0.3317516692274046,Unknown,True,False,107,38,0,0,0.0,0.0,0.44233555896987287,100.5
True,0.0,11.8,0.0,Center,0.3797120293368293,Unknown,True,False,209,90,0,0,0.0,0.0,0.5062827057824391,1000.0
True,0.0,11.8,0.0,Center,0.2510924691434963,Unknown,True,False,204,87,0,0,0.0,0.0,0.33478995885799506,1000.5
True,0.0,11.8,0.0,Center,0.30015279557569624,Unknown,True,False,208,85,0,0,0.0,0.0,0.40020372743426164,1001.0
True,0.0,11.8,0.0,Center,0.2749580909698703,Unknown,True,False,205,86,0,0,0.0,0.0,0.36661078795982704,1001.5
True,0.0,11.8,0.0,Center,0.30015140402624324,Unknown,True,False,206,88,0,0,0.0,0.0,0.40020187203499097,1002.0
True,0.0,11.8,0.0,Center,0.28693070391603226,Unknown,True,False,204,88,0,0,0.0,0.0,0.38257427188804305,1002.5
True,0.0,11.8,0.0,Center,0.25904764762092547,Unknown,True,False,180,6,0,0,0.0,0.0,0.3453968634945673,1003.0
True,0.0,11.8,0.0,Center,0.24204709963666432,Unknown,True,False,206,86,0,0,0.0,0.0,0.3227294661822191,1003.5
True,3.9333333333333336,11.8,0.3333333333333333,Left,0.46727222191477535,Normal,True,True,66,86,90,84,0.573409265656776,0.0,0.30090833287216295,1004.0
True,0.0,11.8,0.0,Center,0.2887694677168309,Unknown,True,False,203,86,0,0,0.0,0.0,0.3850259569557745,1004.5
True,0.0,11.8,0.0,Center,0.258468936306692,Unknown,True,False,88,143,0,0,0.0,0.0,0.34462524840892267,1005.0
True,0.0,11.8,0.0,Center,0.37685705323644736,Unknown,True,False,207,88,0,0,0.0,0.0,0.5024760709819298,1005.5
True,0.0,11.8,0.0,Center,0.2705977466032997,Unknown,True,False,208,88,0,0,0.0,0.0,0.3607969954710663,1006.0
True,0.0,11.8,0.0,Center,0.2675530355631089,Unknown,True,False,208,85,0,0,0.0,0.0,0.35673738075081185,1006.5
True,0.0,11.8,0.0,Center,0.28653958765724147,Unknown,True,False,202,86,0,0,0.0,0.0,0.3820527835429886,1007.0
True,0.0,11.8,0.0,Up-Left,0.0,Unknown,False,True,0,0,148,118,3.154714285354891,0.0,0.0,1007.5
True,0.0,11.8,0.0,Center,0.24640174658463182,Unknown,True,False,206,86,0,0,0.0,0.0,0.3285356621128424,1008.0
True,0.0,11.8,0.0,Center,0.287110710419103,Unknown,True,False,204,85,0,0,0.0,0.0,0.382814280558804,1008.5
True,0.0,11.8,0.0,Center,0.42221883299082946,Unknown,True,False,83,232,0,0,0.0,0.0,0.5629584439877726,1009.0
True,0.0,11.8,0.0,Center,0.33264437689780846,Unknown,True,False,82,235,0,0,0.0,0.0,0.4435258358637446,1009.5
True,2.1454545454545455,11.8,0.18181818181818182,Left,0.5972200183220667,Normal,True,True,55,76,80,82,0.4674530957157251,0.06509380856854974,0.4632831231988252,101.0
True,0.0,11.8,0.0,Center,0.24094057119305196,Unknown,True,False,208,75,0,0,0.0,0.0,0.32125409492406926,101.5
True,0.0,11.8,0.0,Center,0.2821557239610428,Unknown,True,False,83,235,0,0,0.0,0.0,0.37620763194805706,1010.0
True,0.0,11.8,0.0,Center,0.23637075139266356,Unknown,True,False,149,235,0,0,0.0,0.0,0.3151610018568847,1010.5
True,0.0,11.8,0.0,Center,0.3241194694127768,Unknown,True,False,152,238,0,0,0.0,0.0,0.43215929255036906,1011.0
True,0.0,11.8,0.0,Center,0.2575672453901226,Unknown,True,False,166,235,0,0,0.0,0.0,0.3434229938534968,1011.5
True,0.0,11.8,0.0,Center,0.27571549899411096,Unknown,True,False,80,240,0,0,0.0,0.0,0.3676206653254813,1012.0
True,0.0,11.8,0.0,Center,0.32106534859540153,Unknown,True,False,211,81,0,0,0.0,0.0,0.4280871314605354,1012.5
True,0.0,11.8,0.0,Center,0.3229100401174502,Unknown,True,False,205,79,0,0,0.0,0.0,0.4305467201566003,1013.0
True,0.0,11.8,0.0,Center,0.31598272627762913,Unknown,True,False,203,77,0,0,0.0,0.0,0.42131030170350553,1013.5
True,0.0,11.8,0.0,Center,0.3541036586920043,Unknown,True,False,78,241,0,0,0.0,0.0,0.47213821158933905,1014.0
True,1.475,11.8,0.125,Down,0.4736726658195596,Miosis,True,True,145,152,142,110,0.584819535317425,0.0,0.31050899872933935,1014.5
True,0.0,11.8,0.0,Center,0.2624469677331177,Unknown,True,False,207,79,0,0,0.0,0.0,0.3499292903108236,1015.0
True,0.0,11.8,0.0,Center,0.2891557784903259,Unknown,True,False,163,164,0,0,0.0,0.0,0.3855410379871012,1015.5
True,0.0,11.8,0.0,Center,0.24617544020587928,Unknown,True,False,122,209,0,0,0.0,0.0,0.3282339202745057,1016.0
True,0.0,11.8,0.0,Center,0.2963873280469713,Unknown,True,False,175,161,0,0,0.0,0.0,0.3951831040626284,1016.5
True,0.0,11.8,0.0,Center,0.22913236964100753,Unknown,True,False,153,224,0,0,0.0,0.0,0.30550982618801004,1017.0
True,0.0,11.8,0.0,Center,0.25162127899024445,Unknown,True,False,221,88,0,0,0.0,0.0,0.33549503865365926,1017.5
True,0.0,11.8,0.0,Center,0.32760632599946954,Unknown,True,False,58,85,0,0,0.0,0.0,0.43680843466595937,1018.0
True,2.2125000000000004,11.8,0.18750000000000003,Down,0.6,Normal,True,True,76,106,84,82,0.5270462766947299,0.0,0.6660751069689396,1018.5
True,0.0,11.8,0.0,Center,0.25357315341794967,Unknown,True,False,98,94,0,0,0.0,0.0,0.33809753789059954,1019.0
True,0.0,11.8,0.0,Center,0.3910891511017678,Unknown,True,False,116,101,0,0,0.0,0.0,0.5214522014690237,1019.5
True,2.6448275862068966,11.8,0.22413793103448276,Down,0.5348998945515869,Normal,True,True,149,170,150,146,0.41415214308497633,0.17169571383004734,0.3165019849123568,102.0
True,0.0,11.8,0.0,Center,0.31268340067673484,Unknown,True,False,208,81,0,0,0.0,0.0,0.4169112009023131,102.5
True,0.0,11.8,0.0,Center,0.25494462859323647,Unknown,True,False,114,106,0,0,0.0,0.0,0.33992617145764864,1020.0
True,0.0,11.8,0.0,Center,0.2443234640613026,Unknown,True,False,112,72,0,0,0.0,0.0,0.32576461874840346,1020.5
True,0.0,11.8,0.0,Center,0.2300247240028193,Unknown,True,False,3,124,0,0,0.0,0.0,0.30669963200375905,1021.0
True,0.0,11.8,0.0,Center,0.30004515464231557,Unknown,True,False,110,104,0,0,0.0,0.0,0.4000602061897541,1021.5
True,0.0,11.8,0.0,Center,0.237009021031715,Unknown,True,False,182,167,0,0,0.0,0.0,0.3160120280422867,1022.0
True,0.0,11.8,0.0,Center,0.3491450874633408,Unknown,True,False,56,86,0,0,0.0,0.0,0.46552678328445435,1022.5
True,0.0,11.8,0.0,Center,0.2522652585880115,Unknown,True,False,59,84,0,0,0.0,0.0,0.33635367811734873,1023.0
True,0.0,11.8,0.0,Center,0.2605576054464831,Unknown,True,False,160,89,0,0,0.0,0.0,0.3474101405953108,1023.5
True,0.0,11.8,0.0,Center,0.23458821710164018,Unknown,True,False,205,78,0,0,0.0,0.0,0.31278428946885356,1024.0
True,2.765625,11.8,0.23437499999999997,Up-Right,0.4847673680560323,Normal,True,True,159,89,142,116,0.49853300417324425,0.002933991653511492,0.3256840562572928,1024.5
True,1.4936708860759496,11.8,0.12658227848101267,Up-Left,0.4934848610441956,Miosis,True,True,51,87,108,122,0.8466831143387668,0.0,0.3402272915662934,1025.0
True,3.54,11.8,0.3,Center,0.7550702035352249,Normal,True,True,78,91,82,90,0.08246211251235322,0.8350757749752936,0.3150674178151906,1025.5
True,0.0,11.8,0.0,Center,0.31622633853223003,Unknown,True,False,58,87,0,0,0.0,0.0,0.4216351180429734,1026.0
True,0.0,11.8,0.0,Center,0.23241235552802034,Unknown,True,False,152,186,0,0,0.0,0.0,0.3098831407040271,1026.5
True,2.565217391304348,11.8,0.2173913043478261,Up-Right,0.5169059571550355,Normal,True,True,158,90,136,110,0.4309005434005364,0.1381989131989272,0.30625947913308965,1027.0
True,0.0,11.8,0.0,Center,0.2693266770432394,Unknown,True,False,175,69,0,0,0.0,0.0,0.35910223605765257,1027.5
True,0.0,11.8,0.0,Center,0.23088381950629774,Unknown,True,False,235,131,0,0,0.0,0.0,0.30784509267506366,1028.0
True,0.0,11.8,0.0,Center,0.23276649553162906,Unknown,True,False,207,76,0,0,0.0,0.0,0.3103553273755054,1028.5
True,0.0,11.8,0.0,Center,0.24927753445693945,Unknown,True,False,203,76,0,0,0.0,0.0,0.33237004594258596,1029.0
True,0.0,11.8,0.0,Center,0.2752803068038768,Unknown,True,False,154,186,0,0,0.0,0.0,0.3670404090718357,1029.5
True,0.0,11.8,0.0,Center,0.27127795794147797,Unknown,True,False,168,164,0,0,0.0,0.0,0.36170394392197064,103.0
True,0.0,11.8,0.0,Center,0.24506207067579427,Unknown,True,False,65,168,0,0,0.0,0.0,0.3267494275677257,103.5
True,0.0,11.8,0.0,Center,0.2738132667167333,Unknown,True,False,75,175,0,0,0.0,0.0,0.36508435562231106,1030.0
True,2.0911392405063296,11.8,0.17721518987341775,Up-Right,0.4668554815925517,Normal,True,True,160,90,118,120,0.6533411595222248,0.0,0.3002832223888275,1030.5
True,0.0,11.8,0.0,Center,0.2474607602656107,Unknown,True,False,48,79,0,0,0.0,0.0,0.3299476803541476,1031.0
True,2.1914285714285717,11.8,0.18571428571428572,Up-Right,0.5299421604159235,Normal,True,True,156,91,134,112,0.4344830378784442,0.13103392424311144,0.3293962785023295,1031.5
True,0.0,11.8,0.0,Center,0.2580885106552731,Unknown,True,False,198,75,0,0,0.0,0.0,0.3441180142070308,1032.0
True,2.36,11.8,0.19999999999999998,Up-Right,0.5193707706994038,Normal,True,True,159,89,142,116,0.4908632656475021,0.01827346870499591,0.36991942169660785,1032.5
True,0.0,11.8,0.0,Center,0.30930758420043064,Unknown,True,False,75,173,0,0,0.0,0.0,0.41241011226724084,1033.0
True,1.2102564102564104,11.8,0.10256410256410257,Down-Left,0.5395059217218862,Miosis,True,True,92,145,120,120,0.4812390866441913,0.03752182671161741,0.39049796922702057,1033.5
True,0.0,11.8,0.0,Center,0.2289625302067595,Unknown,True,False,64,89,0,0,0.0,0.0,0.30528337360901264,1034.0
True,0.0,11.8,0.0,Center,0.3057226953874289,Unknown,True,False,117,151,0,0,0.0,0.0,0.4076302605165719,1034.5
True,0.0,11.8,0.0,Center,0.24002328629196273,Unknown,True,False,49,79,0,0,0.0,0.0,0.32003104838928365,1035.0
