success,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,gaze_direction,overall_confidence,pupil_classification,pupil_detected,iris_detected,pupil_center_x,pupil_center_y,iris_center_x,iris_center_y,gaze_magnitude,concentricity_score,pupil_circularity,timestamp
True,0.0,11.8,0.0,Center,0.3701718425317727,Unknown,True,False,217,9,0,0,0.0,0.0,0.4935624567090303,1255.0
True,0.0,11.8,0.0,Center,0.25555501177636714,Unknown,True,False,242,65,0,0,0.0,0.0,0.34074001570182283,873.5
True,0.0,11.8,0.0,Center,0.2672083589513884,Unknown,True,False,4,75,0,0,0.0,0.0,0.35627781193518454,599.0
True,0.0,11.8,0.0,Center,0.2645572559860417,Unknown,True,False,8,74,0,0,0.0,0.0,0.3527430079813889,973.5
True,1.4936708860759496,11.8,0.12658227848101267,Down,0.4862457169894143,Miosis,True,True,104,202,118,148,0.706143072454752,0.0,0.32936857548412146,499.0
True,0.0,11.8,0.0,Center,0.24168962705722563,Unknown,True,False,237,216,0,0,0.0,0.0,0.32225283607630084,380.5
True,0.0,11.8,0.0,Center,0.41682674548851917,Unknown,True,False,246,103,0,0,0.0,0.0,0.5557689939846923,666.5
True,0.0,11.8,0.0,Center,0.2793908642624622,Unknown,True,False,247,95,0,0,0.0,0.0,0.37252115234994954,137.5
True,0.0,11.8,0.0,Center,0.40189295296991623,Unknown,True,False,88,96,0,0,0.0,0.0,0.535857270626555,280.5
True,0.0,11.8,0.0,Center,0.23915969906940976,Unknown,True,False,174,197,0,0,0.0,0.0,0.318879598759213,766.5
True,0.0,11.8,0.0,Center,0.2947795380986713,Unknown,True,False,2,78,0,0,0.0,0.0,0.3930393841315617,753.0
True,0.0,11.8,0.0,Center,0.3114574625146853,Unknown,True,False,86,65,0,0,0.0,0.0,0.4152766166862471,1228.0
True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,7,132,0,0,0.0,0.0,0.6916933739639188,102.0
True,0.0,11.8,0.0,Center,0.243776007032047,Unknown,True,False,5,122,0,0,0.0,0.0,0.32503467604272934,653.0
True,0.0,11.8,0.0,Center,0.24032768073746177,Unknown,True,False,13,58,0,0,0.0,0.0,0.32043690764994903,1328.0
True,3.741463414634147,11.8,0.3170731707317074,Down,0.6,Normal,True,True,135,145,136,118,0.6589881017612828,0.0,0.5786604543803189,946.0
True,0.0,11.8,0.0,Center,0.2254220499724205,Unknown,True,False,27,58,0,0,0.0,0.0,0.30056273329656064,1260.5
True,0.0,11.8,0.0,Center,0.411255270212357,Unknown,True,False,245,102,0,0,0.0,0.0,0.5483403602831427,846.0
True,0.0,11.8,0.0,Center,0.2527270455577144,Unknown,True,False,2,76,0,0,0.0,0.0,0.33696939407695253,678.5
True,0.0,11.8,0.0,Center,0.24565153661329064,Unknown,True,False,55,137,0,0,0.0,0.0,0.3275353821510542,129.5
True,0.0,11.8,0.0,Center,0.39683588397906255,Unknown,True,False,244,113,0,0,0.0,0.0,0.5291145119720834,925.0
True,0.0,11.8,0.0,Center,0.266229518457868,Unknown,True,False,7,96,0,0,0.0,0.0,0.35497269127715736,1303.5
True,0.0,11.8,0.0,Center,0.32534391257725603,Unknown,True,False,227,157,0,0,0.0,0.0,0.4337918834363414,778.5
True,0.0,11.8,0.0,Center,0.28491879820604066,Unknown,True,False,5,63,0,0,0.0,0.0,0.37989173094138756,1203.5
True,0.0,11.8,0.0,Center,0.27755091021157263,Unknown,True,False,66,65,0,0,0.0,0.0,0.3700678802820968,825.0
True,0.0,11.8,0.0,Center,0.37857995920619797,Unknown,True,False,246,104,0,0,0.0,0.0,0.5047732789415973,587.0
True,0.0,11.8,0.0,Center,0.23976601356536986,Unknown,True,False,236,210,0,0,0.0,0.0,0.3196880180871598,730.0
True,0.0,11.8,0.0,Center,0.25818357294577526,Unknown,True,False,6,79,0,0,0.0,0.0,0.34424476392770037,487.0
True,1.1949367088607596,11.8,0.10126582278481014,Down-Left,0.5150862847008463,Miosis,True,True,74,201,106,144,0.8274454174888211,0.0,0.3726294270512694,161.0
True,0.0,11.8,0.0,Center,0.2656650760536036,Unknown,True,False,235,207,0,0,0.0,0.0,0.3542201014048048,630.0
True,0.0,11.8,0.0,Center,0.35520767748227466,Unknown,True,False,237,108,0,0,0.0,0.0,0.47361023664303287,605.5
True,1.7540540540540541,11.8,0.14864864864864866,Down-Left,0.46699752726639926,Miosis,True,True,90,184,110,136,0.7027027027027027,0.0,0.3004962908995988,154.5
True,0.0,11.8,0.0,Center,0.280644588621738,Unknown,True,False,111,142,0,0,0.0,0.0,0.374192784828984,958.0
True,0.0,11.8,0.0,Center,0.46894051824527044,Unknown,True,False,244,101,0,0,0.0,0.0,0.6252540243270273,705.5
True,0.0,11.8,0.0,Center,0.2947671507326277,Unknown,True,False,113,206,0,0,0.0,0.0,0.3930228676435036,82.0
True,0.0,11.8,0.0,Center,0.460346045786287,Unknown,True,False,245,100,0,0,0.0,0.0,0.6137947277150494,858.0
True,1.4241379310344828,11.8,0.1206896551724138,Down-Right,0.5388206803545085,Miosis,True,True,131,150,100,114,0.8191016220841174,0.0,0.40823102053176263,1236.0
True,0.0,11.8,0.0,Center,0.2712228780977352,Unknown,True,False,234,213,0,0,0.0,0.0,0.3616305041303136,810.5
True,0.0,11.8,0.0,Center,0.2312705860649062,Unknown,True,False,164,194,0,0,0.0,0.0,0.30836078141987494,1081.0
True,0.0,11.8,0.0,Center,0.3025850642880655,Unknown,True,False,226,62,0,0,0.0,0.0,0.4034467523840873,910.5
True,0.0,11.8,0.0,Center,0.2602231035214715,Unknown,True,False,107,191,0,0,0.0,0.0,0.3469641380286287,1336.0
True,0.0,11.8,0.0,Center,0.30117977184454536,Unknown,True,False,63,151,0,0,0.0,0.0,0.40157302912606047,1181.0
True,0.0,11.8,0.0,Center,0.37316048087292947,Unknown,True,False,90,113,0,0,0.0,0.0,0.4975473078305726,961.5
True,0.0,11.8,0.0,Center,0.3359897155905002,Unknown,True,False,5,88,0,0,0.0,0.0,0.4479862874540003,1247.0
True,0.0,11.8,0.0,Center,0.37405875365147434,Unknown,True,False,201,208,0,0,0.0,0.0,0.4987450048686325,861.5
True,0.0,11.8,0.0,Center,0.24409458480092644,Unknown,True,False,241,73,0,0,0.0,0.0,0.32545944640123525,774.5
True,0.0,11.8,0.0,Center,0.24167282522221312,Unknown,True,False,236,213,0,0,0.0,0.0,0.3222304336296175,292.5
True,0.0,11.8,0.0,Center,0.2268532225737469,Unknown,True,False,68,153,0,0,0.0,0.0,0.3024709634316625,829.0
True,0.0,11.8,0.0,Center,0.24471691186958286,Unknown,True,False,241,72,0,0,0.0,0.0,0.3262892158261105,125.5
True,0.0,11.8,0.0,Center,0.26127851516831474,Unknown,True,False,236,209,0,0,0.0,0.0,0.348371353557753,674.5
True,0.0,11.8,0.0,Center,0.4033770065702943,Unknown,True,False,247,108,0,0,0.0,0.0,0.5378360087603924,392.5
True,0.0,11.8,0.0,Center,0.23013023216251327,Unknown,True,False,84,182,0,0,0.0,0.0,0.3068403095500177,929.0
True,0.0,11.8,0.0,Center,0.22701436738850214,Unknown,True,False,246,57,0,0,0.0,0.0,0.3026858231846695,641.0
True,0.0,11.8,0.0,Center,0.23803104245063916,Unknown,True,False,201,103,0,0,0.0,0.0,0.31737472326751887,110.0
True,0.0,11.8,0.0,Center,0.2315753183296903,Unknown,True,False,242,172,0,0,0.0,0.0,0.3087670911062537,741.0
True,0.0,11.8,0.0,Center,0.24676923052784477,Unknown,True,False,202,210,0,0,0.0,0.0,0.32902564070379303,709.5
True,0.0,11.8,0.0,Up-Left,0.0,Unknown,False,True,0,0,122,108,3.879418335435764,0.0,0.0,1272.5
True,0.0,11.8,0.0,Center,0.26635554351441876,Unknown,True,False,94,103,0,0,0.0,0.0,0.3551407246858917,854.0
True,0.0,11.8,0.0,Center,0.23631779032775915,Unknown,True,False,186,216,0,0,0.0,0.0,0.31509038710367887,158.5
True,0.0,11.8,0.0,Center,0.23919021035431293,Unknown,True,False,235,211,0,0,0.0,0.0,0.3189202804724172,609.5
True,0.0,11.8,0.0,Center,0.43942122846451037,Unknown,True,False,246,120,0,0,0.0,0.0,0.5858949712860139,954.0
True,0.0,11.8,0.0,Center,0.27076950096274377,Unknown,True,False,239,14,0,0,0.0,0.0,0.36102600128365836,1211.5
True,0.0,11.8,0.0,Center,0.43991217221127843,Unknown,True,False,246,103,0,0,0.0,0.0,0.5865495629483712,837.0
True,0.0,11.8,0.0,Center,0.25355816041072615,Unknown,True,False,226,161,0,0,0.0,0.0,0.33807754721430155,937.0
True,0.0,11.8,0.0,Center,0.2402768146234041,Unknown,True,False,199,13,0,0,0.0,0.0,0.3203690861645388,1311.5
True,0.0,11.8,0.0,Center,0.3037008584657643,Unknown,True,False,3,70,0,0,0.0,0.0,0.4049344779543524,622.0
True,1.4303030303030304,11.8,0.12121212121212122,Down-Left,0.5895985296770601,Miosis,True,True,73,194,106,148,0.857768476043525,0.0,0.4843977945155901,173.0
True,0.0,11.8,0.0,Up-Left,0.0,Unknown,False,True,0,0,100,92,2.9539630872109615,0.0,0.0,495.0
True,0.0,11.8,0.0,Center,0.2392143753075139,Unknown,True,False,239,73,0,0,0.0,0.0,0.31895250041001855,722.0
True,0.0,11.8,0.0,Center,0.24940113287223345,Unknown,True,False,87,66,0,0,0.0,0.0,0.3325348438296446,1259.0
True,0.0,11.8,0.0,Center,0.22559394321331586,Unknown,True,False,2,74,0,0,0.0,0.0,0.30079192428442114,595.0
True,0.0,11.8,0.0,Center,0.2288972433529758,Unknown,True,False,111,208,0,0,0.0,0.0,0.3051963244706344,90.0
True,3.2638297872340427,11.8,0.2765957446808511,Up,0.672556364385103,Normal,True,True,141,129,134,146,0.3911654534223455,0.21766909315530913,0.531576328072096,717.5
True,0.0,11.8,0.0,Center,0.235823629388672,Unknown,True,False,170,205,0,0,0.0,0.0,0.31443150585156265,146.5
True,0.0,11.8,0.0,Center,0.24086370894666587,Unknown,True,False,62,61,0,0,0.0,0.0,0.3211516119288878,617.5
True,0.0,11.8,0.0,Center,0.31460385672712504,Unknown,True,False,243,9,0,0,0.0,0.0,0.41947180896950004,1193.0
True,0.0,11.8,0.0,Center,0.3198261643624474,Unknown,True,False,6,130,0,0,0.0,0.0,0.4264348858165965,902.5
True,0.0,11.8,0.0,Center,0.22941257483321367,Unknown,True,False,200,11,0,0,0.0,0.0,0.30588343311095156,1324.0
True,3.3714285714285714,11.8,0.2857142857142857,Left,0.4886373369023973,Normal,True,True,101,103,128,102,0.5513982075961753,0.0,0.3329560053535959,1093.0
True,0.0,11.8,0.0,Up-Left,0.0,Unknown,False,True,0,0,142,68,2.460032075502269,0.0,0.0,1224.0
True,0.0,11.8,0.0,Center,0.23167060306865805,Unknown,True,False,104,203,0,0,0.0,0.0,0.3088941374248774,802.5
True,0.0,11.8,0.0,Center,0.2558151971692301,Unknown,True,False,6,58,0,0,0.0,0.0,0.3410869295589735,1239.5
True,0.0,11.8,0.0,Center,0.24436590468112127,Unknown,True,False,240,71,0,0,0.0,0.0,0.325821206241495,742.5
True,0.0,11.8,0.0,Center,0.27598738027548586,Unknown,True,False,203,161,0,0,0.0,0.0,0.3679831737006478,1339.5
True,0.0,11.8,0.0,Center,0.4549660319151488,Unknown,True,False,244,99,0,0,0.0,0.0,0.606621375886865,642.5
True,0.0,11.8,0.0,Center,0.26073885906110256,Unknown,True,False,235,159,0,0,0.0,0.0,0.34765181208147006,113.5
True,0.0,11.8,0.0,Center,0.2727699624940165,Unknown,True,False,5,81,0,0,0.0,0.0,0.36369328332535533,957.5
True,2.3898734177215193,11.8,0.20253164556962028,Up-Left,0.5022656640167353,Normal,True,True,95,100,136,126,0.6145435996930813,0.0,0.3533984960251029,857.5
True,0.0,11.8,0.0,Center,0.3331386873467547,Unknown,True,False,5,83,0,0,0.0,0.0,0.44418491646233965,1271.0
