success,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,gaze_direction,overall_confidence,pupil_classification,pupil_detected,iris_detected,pupil_center_x,pupil_center_y,iris_center_x,iris_center_y,gaze_magnitude,concentricity_score,pupil_circularity,timestamp
True,0.0,11.8,0.0,Center,0.23576480603913758,Unknown,True,False,6,138,0,0,0.0,0.0,0.3143530747188501,1504.0
True,0.0,11.8,0.0,Center,0.3059389232912622,Unknown,True,False,240,110,0,0,0.0,0.0,0.4079185643883496,1255.0
True,0.0,11.8,0.0,Center,0.3673902677618144,Unknown,True,False,246,109,0,0,0.0,0.0,0.4898536903490859,873.5
True,0.0,11.8,0.0,Center,0.2650290247383802,Unknown,True,False,206,179,0,0,0.0,0.0,0.3533720329845069,599.0
True,0.0,11.8,0.0,Center,0.32002975186272076,Unknown,True,False,243,101,0,0,0.0,0.0,0.426706335816961,973.5
True,0.0,11.8,0.0,Center,0.43177438992212547,Unknown,True,False,246,109,0,0,0.0,0.0,0.5756991865628339,499.0
True,0.0,11.8,0.0,Center,0.34861784291730125,Unknown,True,False,247,106,0,0,0.0,0.0,0.46482379055640166,1404.0
True,0.0,11.8,0.0,Center,0.3908808158302285,Unknown,True,False,245,104,0,0,0.0,0.0,0.5211744211069713,1355.0
True,0.0,11.8,0.0,Center,0.40572412901737964,Unknown,True,False,246,103,0,0,0.0,0.0,0.5409655053565062,380.5
True,0.0,11.8,0.0,Center,0.3367587445407941,Unknown,True,False,245,107,0,0,0.0,0.0,0.4490116593877254,666.5
True,0.0,11.8,0.0,Center,0.2826372965164469,Unknown,True,False,14,132,0,0,0.0,0.0,0.3768497286885959,137.5
True,0.0,11.8,0.0,Center,0.3057226953874289,Unknown,True,False,225,66,0,0,0.0,0.0,0.4076302605165719,280.5
True,0.0,11.8,0.0,Center,0.4042590734412833,Unknown,True,False,244,104,0,0,0.0,0.0,0.5390120979217111,766.5
True,0.0,11.8,0.0,Center,0.46414930425181433,Unknown,True,False,89,114,0,0,0.0,0.0,0.6188657390024191,753.0
True,0.0,11.8,0.0,Center,0.26764948734762806,Unknown,True,False,4,140,0,0,0.0,0.0,0.3568659831301707,1579.0
True,0.0,11.8,0.0,Center,0.2631272082649405,Unknown,True,False,241,107,0,0,0.0,0.0,0.35083627768658737,1228.0
True,0.0,11.8,0.0,Center,0.3123651911913859,Unknown,True,False,243,115,0,0,0.0,0.0,0.4164869215885145,102.0
True,0.0,11.8,0.0,Center,0.2589290607082799,Unknown,True,False,5,128,0,0,0.0,0.0,0.3452387476110399,653.0
True,0.0,11.8,0.0,Center,0.23042767097959688,Unknown,True,False,7,137,0,0,0.0,0.0,0.3072368946394625,1479.0
True,0.0,11.8,0.0,Center,0.3008810931416677,Unknown,True,False,143,138,0,0,0.0,0.0,0.40117479085555696,1328.0
True,0.0,11.8,0.0,Center,0.23971210552676958,Unknown,True,False,242,97,0,0,0.0,0.0,0.31961614070235944,946.0
True,0.0,11.8,0.0,Up-Left,0.0,Unknown,False,True,0,0,110,102,3.846495711302395,0.0,0.0,1360.5
True,0.0,11.8,0.0,Up-Left,0.0,Unknown,False,True,0,0,124,104,3.3028454406765566,0.0,0.0,1431.5
True,0.0,11.8,0.0,Center,0.281210224166367,Unknown,True,False,5,137,0,0,0.0,0.0,0.374946965555156,1260.5
True,0.0,11.8,0.0,Center,0.2512987613009361,Unknown,True,False,4,140,0,0,0.0,0.0,0.33506501506791475,1531.5
True,0.0,11.8,0.0,Center,0.28693135540899767,Unknown,True,False,94,114,0,0,0.0,0.0,0.3825751405453302,846.0
True,0.0,11.8,0.0,Center,0.47781258242149216,Unknown,True,False,246,108,0,0,0.0,0.0,0.6370834432286562,678.5
True,0.0,11.8,0.0,Center,0.2875950202906017,Unknown,True,False,225,62,0,0,0.0,0.0,0.3834600270541356,129.5
True,0.0,11.8,0.0,Center,0.3891122671482118,Unknown,True,False,218,63,0,0,0.0,0.0,0.5188163561976157,925.0
True,0.0,11.8,0.0,Center,0.23854294835788792,Unknown,True,False,7,128,0,0,0.0,0.0,0.3180572644771839,1303.5
True,0.0,11.8,0.0,Center,0.34419480964724863,Unknown,True,False,224,62,0,0,0.0,0.0,0.4589264128629982,1452.5
True,0.0,11.8,0.0,Center,0.3768371997116034,Unknown,True,False,245,104,0,0,0.0,0.0,0.5024495996154712,778.5
True,0.0,11.8,0.0,Center,0.24715869432915394,Unknown,True,False,240,166,0,0,0.0,0.0,0.32954492577220523,1203.5
True,0.0,11.8,0.0,Center,0.23757352569485685,Unknown,True,False,162,128,0,0,0.0,0.0,0.3167647009264758,1552.5
True,0.0,11.8,0.0,Center,0.37568725267893305,Unknown,True,False,245,107,0,0,0.0,0.0,0.5009163369052441,825.0
True,0.0,11.8,0.0,Center,0.33408106209937105,Unknown,True,False,246,108,0,0,0.0,0.0,0.4454414161324947,587.0
True,0.0,11.8,0.0,Center,0.3740292220184605,Unknown,True,False,245,109,0,0,0.0,0.0,0.4987056293579473,730.0
True,0.0,11.8,0.0,Center,0.36324505794978934,Unknown,True,False,226,66,0,0,0.0,0.0,0.4843267439330525,487.0
True,0.0,11.8,0.0,Center,0.3023043997642241,Unknown,True,False,221,196,0,0,0.0,0.0,0.4030725330189654,161.0
True,0.0,11.8,0.0,Center,0.477025704834955,Unknown,True,False,247,110,0,0,0.0,0.0,0.6360342731132733,630.0
True,0.0,11.8,0.0,Center,0.37600574098978495,Unknown,True,False,246,109,0,0,0.0,0.0,0.5013409879863799,605.5
True,0.0,11.8,0.0,Center,0.359650963167296,Unknown,True,False,246,102,0,0,0.0,0.0,0.47953461755639465,154.5
True,0.0,11.8,0.0,Center,0.23609808543941513,Unknown,True,False,63,162,0,0,0.0,0.0,0.3147974472525535,958.0
True,0.0,11.8,0.0,Center,0.33283955133875925,Unknown,True,False,246,110,0,0,0.0,0.0,0.443786068451679,705.5
True,0.0,11.8,0.0,Center,0.30996884393447655,Unknown,True,False,225,66,0,0,0.0,0.0,0.41329179191263543,82.0
True,0.0,11.8,0.0,Center,0.3863858763689213,Unknown,True,False,221,69,0,0,0.0,0.0,0.5151811684918951,858.0
True,0.0,11.8,0.0,Center,0.25137670698592274,Unknown,True,False,4,140,0,0,0.0,0.0,0.335168942647897,1567.0
True,0.0,11.8,0.0,Up-Left,0.0,Unknown,False,True,0,0,132,100,3.8512077292064095,0.0,0.0,1236.0
True,0.0,11.8,0.0,Center,0.2837959721636697,Unknown,True,False,67,75,0,0,0.0,0.0,0.37839462955155956,810.5
True,0.0,11.8,0.0,Center,0.4022499431537231,Unknown,True,False,96,113,0,0,0.0,0.0,0.5363332575382974,1081.0
