success,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,gaze_direction,overall_confidence,pupil_classification,pupil_detected,iris_detected,pupil_center_x,pupil_center_y,iris_center_x,iris_center_y,gaze_magnitude,concentricity_score,pupil_circularity,timestamp
True,0.0,11.8,0.0,Center,0.27359966849224643,Unknown,True,False,228,165,0,0,0.0,0.0,0.3647995579896619,873.5
True,1.838961038961039,11.8,0.15584415584415584,Down,0.46924158744415,Miosis,True,True,98,203,118,154,0.6873308375272333,0.0,0.30386238116622505,599.0
True,0.0,11.8,0.0,Center,0.2739606955050336,Unknown,True,False,38,79,0,0,0.0,0.0,0.3652809273400448,973.5
True,0.0,11.8,0.0,Center,0.37644124635714826,Unknown,True,False,194,9,0,0,0.0,0.0,0.501921661809531,499.0
True,0.0,11.8,0.0,Center,0.2934896235923984,Unknown,True,False,197,7,0,0,0.0,0.0,0.3913194981231979,380.5
True,0.0,11.8,0.0,Center,0.2338647415640166,Unknown,True,False,238,47,0,0,0.0,0.0,0.3118196554186888,666.5
True,0.0,11.8,0.0,Center,0.24744962634626655,Unknown,True,False,198,12,0,0,0.0,0.0,0.3299328351283554,137.5
True,2.860606060606061,11.8,0.24242424242424243,Down-Right,0.6,Normal,True,True,222,210,210,192,0.6555547773570889,0.0,0.6123056062273364,280.5
True,0.0,11.8,0.0,Center,0.2591808114707043,Unknown,True,False,244,95,0,0,0.0,0.0,0.3455744152942724,766.5
True,0.0,11.8,0.0,Center,0.2527620832117434,Unknown,True,False,124,9,0,0,0.0,0.0,0.33701611094899125,753.0
True,0.0,11.8,0.0,Center,0.2575254914677912,Unknown,True,False,169,120,0,0,0.0,0.0,0.34336732195705494,102.0
True,0.0,11.8,0.0,Center,0.22975707188648337,Unknown,True,False,164,56,0,0,0.0,0.0,0.3063427625153112,653.0
True,0.0,11.8,0.0,Center,0.33499560714016136,Unknown,True,False,235,49,0,0,0.0,0.0,0.44666080952021514,946.0
True,0.9440000000000002,11.8,0.08000000000000002,Down-Left,0.6,Miosis,True,True,78,217,122,170,0.8584223254837265,0.0,0.6704789469766969,846.0
True,0.0,11.8,0.0,Center,0.24272941535932774,Unknown,True,False,132,130,0,0,0.0,0.0,0.32363922047910365,678.5
True,0.0,11.8,0.0,Center,0.22982651590704647,Unknown,True,False,238,225,0,0,0.0,0.0,0.30643535454272863,129.5
True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,58,123,0,0,0.0,0.0,0.8022132398263995,925.0
True,1.7208333333333334,11.8,0.14583333333333334,Down,0.5311172429012422,Miosis,True,True,119,114,110,74,0.8541666666666667,0.0,0.3966758643518633,778.5
True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,41,120,0,0,0.0,0.0,0.75576099941056,1203.5
True,0.0,11.8,0.0,Center,0.4425025282669308,Unknown,True,False,195,13,0,0,0.0,0.0,0.5900033710225744,825.0
True,0.0,11.8,0.0,Center,0.2631246747333063,Unknown,True,False,5,85,0,0,0.0,0.0,0.3508328996444084,587.0
True,2.5812500000000003,11.8,0.21875,Up-Right,0.5740859468061773,Normal,True,True,159,56,144,76,0.78125,0.0,0.4611289202092659,730.0
True,0.0,11.8,0.0,Center,0.25682374100379873,Unknown,True,False,143,11,0,0,0.0,0.0,0.34243165467173164,487.0
True,0.0,11.8,0.0,Center,0.30962117167079106,Unknown,True,False,239,28,0,0,0.0,0.0,0.4128282288943881,161.0
True,0.0,11.8,0.0,Center,0.4105198776611497,Unknown,True,False,5,74,0,0,0.0,0.0,0.547359836881533,630.0
True,0.0,11.8,0.0,Center,0.23987466246688482,Unknown,True,False,98,204,0,0,0.0,0.0,0.31983288328917975,605.5
True,0.0,11.8,0.0,Center,0.2485613953616953,Unknown,True,False,238,232,0,0,0.0,0.0,0.33141519381559376,154.5
True,0.0,11.8,0.0,Center,0.278397294657467,Unknown,True,False,182,96,0,0,0.0,0.0,0.37119639287662265,958.0
True,0.0,11.8,0.0,Center,0.2286177038651944,Unknown,True,False,10,8,0,0,0.0,0.0,0.3048236051535925,705.5
True,0.0,11.8,0.0,Center,0.4033841119695244,Unknown,True,False,85,112,0,0,0.0,0.0,0.5378454826260325,82.0
True,0.0,11.8,0.0,Center,0.45517426563166136,Unknown,True,False,5,73,0,0,0.0,0.0,0.6068990208422151,858.0
True,0.0,11.8,0.0,Center,0.2824311146837413,Unknown,True,False,176,15,0,0,0.0,0.0,0.3765748195783218,810.5
True,0.0,11.8,0.0,Center,0.39707224117644446,Unknown,True,False,9,114,0,0,0.0,0.0,0.529429654901926,1081.0
True,0.0,11.8,0.0,Center,0.31823360451990573,Unknown,True,False,201,9,0,0,0.0,0.0,0.4243114726932076,910.5
True,0.0,11.8,0.0,Center,0.22765640492141725,Unknown,True,False,18,212,0,0,0.0,0.0,0.30354187322855636,1181.0
True,0.0,11.8,0.0,Center,0.264733621350792,Unknown,True,False,41,78,0,0,0.0,0.0,0.35297816180105596,961.5
True,0.0,11.8,0.0,Center,0.43495976839837236,Unknown,True,False,4,75,0,0,0.0,0.0,0.5799463578644964,861.5
True,0.0,11.8,0.0,Center,0.23405785994094386,Unknown,True,False,179,118,0,0,0.0,0.0,0.3120771465879251,774.5
True,2.0823529411764707,11.8,0.17647058823529413,Right,0.5293368277055133,Normal,True,True,163,92,126,104,0.5720191276110801,0.0,0.3940052415582699,292.5
True,0.0,11.8,0.0,Center,0.23872790397905957,Unknown,True,False,222,8,0,0,0.0,0.0,0.31830387197207943,829.0
True,0.0,11.8,0.0,Center,0.2782220277032703,Unknown,True,False,31,25,0,0,0.0,0.0,0.37096270360436046,125.5
True,0.0,11.8,0.0,Center,0.23484805061640673,Unknown,True,False,68,167,0,0,0.0,0.0,0.313130734155209,674.5
True,0.0,11.8,0.0,Center,0.22653913145159618,Unknown,True,False,35,103,0,0,0.0,0.0,0.3020521752687949,392.5
True,0.0,11.8,0.0,Center,0.37952984971754733,Unknown,True,False,111,228,0,0,0.0,0.0,0.5060397996233964,929.0
