success,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,gaze_direction,overall_confidence,pupil_classification,pupil_detected,iris_detected,pupil_center_x,pupil_center_y,iris_center_x,iris_center_y,gaze_magnitude,concentricity_score,pupil_circularity,timestamp
True,0.0,11.8,0.0,Center,0.35255672263950066,Unknown,True,False,216,7,0,0,0.0,0.0,0.4700756301860009,1504.0
True,0.0,11.8,0.0,Center,0.2916726067784102,Unknown,True,False,37,18,0,0,0.0,0.0,0.38889680903788026,1255.0
True,0.0,11.8,0.0,Center,0.26976381396030374,Unknown,True,False,119,42,0,0,0.0,0.0,0.359685085280405,873.5
True,0.0,11.8,0.0,Center,0.34353229365245913,Unknown,True,False,135,113,0,0,0.0,0.0,0.45804305820327884,599.0
True,0.0,11.8,0.0,Center,0.3803277629712842,Unknown,True,False,178,129,0,0,0.0,0.0,0.5071036839617122,973.5
True,0.0,11.8,0.0,Center,0.42119698948801376,Unknown,True,False,20,27,0,0,0.0,0.0,0.5615959859840184,499.0
True,0.0,11.8,0.0,Center,0.23412081706889165,Unknown,True,False,224,22,0,0,0.0,0.0,0.3121610894251889,1404.0
True,0.0,11.8,0.0,Center,0.37358891142441414,Unknown,True,False,163,220,0,0,0.0,0.0,0.4981185485658855,1355.0
True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,32,23,0,0,0.0,0.0,0.7772467837628543,380.5
True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,24,27,0,0,0.0,0.0,0.7143244693418238,666.5
True,0.0,11.8,0.0,Center,0.239834096941399,Unknown,True,False,10,94,0,0,0.0,0.0,0.31977879592186537,137.5
True,0.0,11.8,0.0,Center,0.23602043713502913,Unknown,True,False,6,91,0,0,0.0,0.0,0.31469391618003884,280.5
True,0.0,11.8,0.0,Center,0.24756436448900324,Unknown,True,False,0,136,0,0,0.0,0.0,0.330085819318671,766.5
True,0.0,11.8,0.0,Center,0.2402732901598802,Unknown,True,False,173,124,0,0,0.0,0.0,0.32036438687984026,753.0
True,0.0,11.8,0.0,Center,0.389368073171238,Unknown,True,False,10,95,0,0,0.0,0.0,0.519157430894984,1579.0
True,0.0,11.8,0.0,Center,0.2817156149198403,Unknown,True,False,240,147,0,0,0.0,0.0,0.37562081989312046,1228.0
True,0.0,11.8,0.0,Center,0.2610839847159649,Unknown,True,False,8,202,0,0,0.0,0.0,0.34811197962128654,102.0
True,0.0,11.8,0.0,Center,0.30704340940436536,Unknown,True,False,8,35,0,0,0.0,0.0,0.4093912125391538,653.0
True,0.0,11.8,0.0,Center,0.26759259599614793,Unknown,True,False,134,113,0,0,0.0,0.0,0.35679012799486387,1479.0
True,0.0,11.8,0.0,Center,0.22932463887939758,Unknown,True,False,119,124,0,0,0.0,0.0,0.3057661851725301,1328.0
True,0.0,11.8,0.0,Center,0.47087742372132,Unknown,True,False,18,237,0,0,0.0,0.0,0.62783656496176,946.0
True,2.4842105263157896,11.8,0.21052631578947367,Up-Right,0.603258184254337,Normal,True,True,144,133,132,158,0.36487959536479075,0.2702408092704186,0.36976687174629613,1360.5
True,0.0,11.8,0.0,Center,0.4403031196575975,Unknown,True,False,234,153,0,0,0.0,0.0,0.58707082621013,1431.5
True,0.0,11.8,0.0,Center,0.3650921034407104,Unknown,True,False,21,242,0,0,0.0,0.0,0.4867894712542805,1686.5
True,0.0,11.8,0.0,Center,0.2684742453244203,Unknown,True,False,0,137,0,0,0.0,0.0,0.35796566043256045,1260.5
True,0.0,11.8,0.0,Center,0.33200232907176214,Unknown,True,False,14,223,0,0,0.0,0.0,0.44266977209568287,1531.5
True,0.0,11.8,0.0,Center,0.264733621350792,Unknown,True,False,81,166,0,0,0.0,0.0,0.35297816180105596,846.0
True,0.0,11.8,0.0,Center,0.23624451536690394,Unknown,True,False,8,133,0,0,0.0,0.0,0.3149926871558719,1786.5
True,0.0,11.8,0.0,Center,0.3280416018640502,Unknown,True,False,22,14,0,0,0.0,0.0,0.43738880248540024,678.5
True,0.0,11.8,0.0,Center,0.3779702302190352,Unknown,True,False,14,243,0,0,0.0,0.0,0.5039603069587136,129.5
True,0.0,11.8,0.0,Center,0.41728927523669646,Unknown,True,False,10,240,0,0,0.0,0.0,0.5563857003155953,925.0
True,0.0,11.8,0.0,Center,0.398775415394075,Unknown,True,False,13,210,0,0,0.0,0.0,0.5317005538587667,1303.5
True,0.0,11.8,0.0,Center,0.3021468437504715,Unknown,True,False,12,119,0,0,0.0,0.0,0.40286245833396206,1452.5
True,0.0,11.8,0.0,Center,0.2351205115619861,Unknown,True,False,240,51,0,0,0.0,0.0,0.3134940154159815,778.5
True,0.0,11.8,0.0,Center,0.2846165341099789,Unknown,True,False,13,147,0,0,0.0,0.0,0.3794887121466385,1203.5
True,0.0,11.8,0.0,Center,0.2575050343277561,Unknown,True,False,21,39,0,0,0.0,0.0,0.3433400457703415,1552.5
True,0.0,11.8,0.0,Center,0.2662540827243363,Unknown,True,False,18,220,0,0,0.0,0.0,0.3550054436324484,825.0
True,0.0,11.8,0.0,Center,0.2605889359921744,Unknown,True,False,98,125,0,0,0.0,0.0,0.34745191465623254,587.0
True,0.0,11.8,0.0,Center,0.3708892189158728,Unknown,True,False,130,118,0,0,0.0,0.0,0.49451895855449707,730.0
True,0.0,11.8,0.0,Center,0.3377899473224692,Unknown,True,False,60,20,0,0,0.0,0.0,0.45038659642995893,487.0
True,0.0,11.8,0.0,Center,0.28627513499693585,Unknown,True,False,95,123,0,0,0.0,0.0,0.3817001799959145,161.0
True,0.0,11.8,0.0,Center,0.3861801408056839,Unknown,True,False,101,21,0,0,0.0,0.0,0.5149068544075786,630.0
True,0.0,11.8,0.0,Center,0.3174367518444233,Unknown,True,False,28,27,0,0,0.0,0.0,0.4232490024592311,605.5
True,0.0,11.8,0.0,Center,0.30410108738879715,Unknown,True,False,83,84,0,0,0.0,0.0,0.4054681165183962,154.5
True,4.396078431372549,11.8,0.37254901960784315,Down-Right,0.6142076963206876,Slightly Dilated,True,True,120,122,100,108,0.47868845551896877,0.04262308896206257,0.6298123098805513,1698.5
True,0.0,11.8,0.0,Center,0.3286923521689434,Unknown,True,False,123,117,0,0,0.0,0.0,0.43825646955859116,958.0
True,0.0,11.8,0.0,Center,0.4950281261152466,Unknown,True,False,63,11,0,0,0.0,0.0,0.6600375014869955,1798.5
True,0.0,11.8,0.0,Center,0.3754177570805505,Unknown,True,False,6,145,0,0,0.0,0.0,0.500557009440734,705.5
True,0.0,11.8,0.0,Center,0.4297657850530049,Unknown,True,False,45,128,0,0,0.0,0.0,0.5730210467373399,82.0
True,0.0,11.8,0.0,Center,0.49409442607681203,Unknown,True,False,190,23,0,0,0.0,0.0,0.658792568102416,858.0
True,0.0,11.8,0.0,Center,0.3035335777978273,Unknown,True,False,5,101,0,0,0.0,0.0,0.4047114370637697,1567.0
True,0.0,11.8,0.0,Center,0.2414469711449998,Unknown,True,False,0,135,0,0,0.0,0.0,0.3219292948599997,1236.0
True,0.0,11.8,0.0,Center,0.35667390132816706,Unknown,True,False,11,94,0,0,0.0,0.0,0.4755652017708894,810.5
True,0.0,11.8,0.0,Center,0.2931855451421387,Unknown,True,False,6,129,0,0,0.0,0.0,0.39091406018951824,1081.0
True,0.0,11.8,0.0,Center,0.2860985995717199,Unknown,True,False,96,128,0,0,0.0,0.0,0.3814647994289599,910.5
True,0.0,11.8,0.0,Center,0.27241985477627817,Unknown,True,False,177,92,0,0,0.0,0.0,0.3632264730350376,1467.0
True,0.0,11.8,0.0,Center,0.3173934872701025,Unknown,True,False,159,225,0,0,0.0,0.0,0.4231913163601367,1336.0
True,2.664516129032258,11.8,0.22580645161290322,Up-Right,0.6936717218566995,Normal,True,True,140,119,130,136,0.31811424069864547,0.36377151860270895,0.4586218234836947,1181.0
True,0.0,11.8,0.0,Center,0.22838500587532778,Unknown,True,False,3,137,0,0,0.0,0.0,0.3045133411671037,961.5
True,0.0,11.8,0.0,Center,0.37790721686236306,Unknown,True,False,166,217,0,0,0.0,0.0,0.5038762891498174,1347.0
