success,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,gaze_direction,overall_confidence,pupil_classification,pupil_detected,iris_detected,pupil_center_x,pupil_center_y,iris_center_x,iris_center_y,gaze_magnitude,concentricity_score,pupil_circularity,timestamp
True,0.0,11.8,0.0,Center,0.40851763858322176,Unknown,True,False,163,131,0,0,0.0,0.0,0.544690184777629,1504.0
True,0.0,11.8,0.0,Center,0.341659392536641,Unknown,True,False,14,110,0,0,0.0,0.0,0.45554585671552134,1255.0
True,0.0,11.8,0.0,Center,0.26823359165881216,Unknown,True,False,47,88,0,0,0.0,0.0,0.3576447888784162,873.5
True,0.0,11.8,0.0,Center,0.25178388565020127,Unknown,True,False,49,47,0,0,0.0,0.0,0.3357118475336017,599.0
True,0.0,11.8,0.0,Center,0.2600911704962916,Unknown,True,False,93,164,0,0,0.0,0.0,0.34678822732838877,973.5
True,0.0,11.8,0.0,Center,0.46085533917183036,Unknown,True,False,53,47,0,0,0.0,0.0,0.6144737855624405,499.0
True,0.0,11.8,0.0,Center,0.3063728886046426,Unknown,True,False,20,47,0,0,0.0,0.0,0.40849718480619013,1404.0
True,0.0,11.8,0.0,Center,0.23066435878306024,Unknown,True,False,49,64,0,0,0.0,0.0,0.3075524783774137,1355.0
True,0.0,11.8,0.0,Center,0.2859096399080347,Unknown,True,False,48,40,0,0,0.0,0.0,0.3812128532107129,380.5
True,0.0,11.8,0.0,Center,0.24636238545347622,Unknown,True,False,114,94,0,0,0.0,0.0,0.32848318060463494,666.5
True,0.0,11.8,0.0,Center,0.31306524333029206,Unknown,True,False,29,63,0,0,0.0,0.0,0.41742032444038946,137.5
True,0.0,11.8,0.0,Center,0.2298971890157343,Unknown,True,False,48,43,0,0,0.0,0.0,0.3065295853543124,280.5
True,0.0,11.8,0.0,Center,0.23137427918296927,Unknown,True,False,95,149,0,0,0.0,0.0,0.3084990389106257,766.5
True,0.0,11.8,0.0,Center,0.2698875257940568,Unknown,True,False,23,78,0,0,0.0,0.0,0.3598500343920757,753.0
True,0.0,11.8,0.0,Center,0.2891575326494547,Unknown,True,False,82,125,0,0,0.0,0.0,0.3855433768659396,1579.0
True,0.0,11.8,0.0,Center,0.3110793738820613,Unknown,True,False,14,118,0,0,0.0,0.0,0.41477249850941506,1228.0
True,0.0,11.8,0.0,Center,0.35142886591223677,Unknown,True,False,157,172,0,0,0.0,0.0,0.4685718212163157,102.0
True,0.0,11.8,0.0,Center,0.29074110725093727,Unknown,True,False,221,47,0,0,0.0,0.0,0.3876548096679164,653.0
True,0.0,11.8,0.0,Center,0.2687501242817566,Unknown,True,False,92,151,0,0,0.0,0.0,0.35833349904234213,1479.0
True,0.0,11.8,0.0,Center,0.229463200998266,Unknown,True,False,123,88,0,0,0.0,0.0,0.3059509346643547,1328.0
True,0.0,11.8,0.0,Center,0.2989203687241999,Unknown,True,False,50,59,0,0,0.0,0.0,0.3985604916322666,946.0
True,0.0,11.8,0.0,Center,0.31094266805166926,Unknown,True,False,35,40,0,0,0.0,0.0,0.41459022406889234,1360.5
True,0.0,11.8,0.0,Center,0.30513225279895617,Unknown,True,False,54,50,0,0,0.0,0.0,0.4068430037319416,1431.5
True,0.0,11.8,0.0,Center,0.2250665098314271,Unknown,True,False,146,30,0,0,0.0,0.0,0.3000886797752361,1686.5
True,0.0,11.8,0.0,Center,0.245633422462524,Unknown,True,False,6,15,0,0,0.0,0.0,0.327511229950032,1260.5
True,0.0,11.8,0.0,Center,0.2703944959462636,Unknown,True,False,114,88,0,0,0.0,0.0,0.3605259945950181,1531.5
True,0.0,11.8,0.0,Center,0.30653289396736416,Unknown,True,False,47,90,0,0,0.0,0.0,0.4087105252898189,846.0
True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,12,129,0,0,0.0,0.0,0.6936962040348685,1786.5
True,0.0,11.8,0.0,Center,0.2680928742188827,Unknown,True,False,92,156,0,0,0.0,0.0,0.357457165625177,678.5
True,0.0,11.8,0.0,Center,0.36815676690160437,Unknown,True,False,200,65,0,0,0.0,0.0,0.49087568920213914,129.5
